# ASX 02933327 Table 1 — MRE by licence @ 1000 ppm TREO cut-off, effective 12 Mar 2025
licence_id,note,resource_category,total_mt,as_of,source_ref
LIC-CDM-01,"Measured 11 Mt clay @ 3888 ppm · Indicated 74 Mt @ 2908 ppm · Inferred clay 32 Mt @ 1791 ppm + transition 25 Mt @ 1752 ppm · ASX 02933327 Table 1",Measured & Indicated,85,2025-04-07,asx_02933327
LIC-SOB-01,"Indicated 86 Mt @ 2730 ppm · Inferred clay 89 Mt @ 2713 ppm + transition 54 Mt @ 2207 ppm · ASX 02933327 Table 1",Indicated,86,2025-04-07,asx_02933327
LIC-FIG-01,"Indicated 138 Mt @ 2844 ppm · Inferred clay 9 Mt @ 3105 ppm + transition 24 Mt @ 2174 ppm · ASX 02933327 Table 1",Indicated,138,2025-04-07,asx_02933327
LIC-CVN-01,"Measured 26 Mt @ 2607 ppm · Indicated 90 Mt @ 2658 ppm · Inferred clay 78 Mt + transition 67 Mt · ASX 02933327 Table 1",Mixed,261,2025-04-07,asx_02933327
LIC-DM1-01,"Inferred — narrow high-grade corridor, part of Dona Maria 1 & 2 combined 226 Mt @ 2100 ppm TREO",Inferred,,2025-04-07,asx_02933327
LIC-DM2-01,"Inferred — narrow high-grade corridor, part of Dona Maria 1 & 2 combined 226 Mt @ 2100 ppm TREO",Inferred,,2025-04-07,asx_02933327
